2025-10-01T00:00:50.096Z,7rmqj2wCUD7rmeFLrcEfNC,Whateverrrr,Spacey Jane,178304
2025-10-01T00:09:51.572Z,7ByxizhA4GgEf7Sxomxhze,All My Love,Noah Kahan,251510
2025-10-01T00:13:51.127Z,2jAQzmhwPPcc6jBx4w664w,Deeply Still In Love,ROLE MODEL,242544
2025-10-01T00:37:49.977Z,2MvvoeRt8NcOXWESkxWn3g,Ribs,Lorde,258969
2025-10-01T13:31:35.439Z,4vjvx7Zxkb4AltGcZ0BBvI,Kyoto,Phoebe Bridgers,184524
2025-10-01T13:35:26.586Z,0qi7eTaivYK7M7vq6lbsr5,She Wants To Go Dancing,Mt. Joy,188442
2025-10-01T13:38:18.626Z,1XwbJNPOcLuSRTQNR9zz4r,Lady Lady,Olivia Dean,209000
2025-10-01T14:02:36.178Z,3VD30P9pXZq2usG4tSdjBa,All the Noise,Spacey Jane,179858
2025-10-01T14:05:11.075Z,2jjwQENSoGnYbQEK4acuC6,Basic Being Basic,Djo,158106
2025-10-01T14:08:07.379Z,2TAKt1x0k9AltDJm31GhEu,Bleed (feat. Omar Apollo),Malcolm Todd,179373
2025-10-01T14:13:56.299Z,7gKxCvTDWwV9wBhdeBbr3l,Nice To Each Other,Olivia Dean,209000
2025-10-01T14:16:52.645Z,3nmvNpobyMN4Ggw7tYcqSF,In The Middle,Mt. Joy,179900
2025-10-01T14:20:04.075Z,742oWlfJlZRsX6SA2QLRtD,Peace Blossom Boogy,Babe Rainbow,194292
2025-10-01T14:23:27.162Z,1GIDMzcU9cvO5j7f1kuT4Z,Estimated Delivery,Spacey Jane,205412
2025-10-01T14:27:20.818Z,5Lfdb0KKLWKEns27p20uYt,i wish i knew how to quit you,sombr,232375
2025-10-01T14:28:40.654Z,5S2EDToHeJoz2T32fgp7Fe,Scared I'm Gonna Fuck You Up,Mt. Joy,70862
2025-10-01T14:32:26.106Z,7cSLD89y304ZvX4mVhYVfw,Tobeloved,Parcels,245904
2025-10-01T14:35:41.146Z,3z9edWp4Ypn0FBRykRMRjP,Ily the Most,Spacey Jane,169757
2025-10-01T14:55:15.449Z,7ikBmc1tX6g29Tdqs7yCjF,God Loves Weirdos,Mt. Joy,189411
2025-10-01T14:58:54.693Z,6I5smKWqDl1TwxUvyhDRSZ,Something New,Babe Rainbow,195080
2025-10-01T15:01:30.438Z,7rmqj2wCUD7rmeFLrcEfNC,Whateverrrr,Spacey Jane,178304
2025-10-01T15:03:36.697Z,5OPmCyYLMvnTI2Rq55hfo2,Beach Monster,STRFKR,129785
2025-10-01T15:09:57.704Z,7MerIDn7wpEH4OEGbpasSH,moody,Royel Otis,175833
2025-10-01T15:11:19.931Z,19Hvfn28sTtrOVsFOwljiH,Lucy,Mt. Joy,218151
2025-10-01T15:13:54.404Z,05od2qm2MTSKCHxy1GBp5W,12 to 12,sombr,242903
2025-10-01T15:17:21.727Z,2qy79S1B8Y5DAfJaNwZ4Di,Second Hand,STRFKR,209989
2025-10-01T15:20:37.848Z,1XMBjGYUakFEjI4ZaISVt2,The Field (feat. The Durutti Column  Tariq Al-Sabir  Caroline Polachek & Daniel Caesar),Blood Orange,199253
2025-10-01T15:24:38.391Z,2EwO2pufCh6uOqZwLMGKY5,As She Dreams,Goth Babe,243879
2025-10-01T15:26:55.099Z,1z5DpJzA5Jse2EHp7jVoOi,Sandman,Dominic Fike,139775
2025-10-01T15:30:51.510Z,7zXDaRvqkduUhDUGdhHsap,Kahlil Gibran,STRFKR,239413
2025-10-01T15:34:08.550Z,7tvFQ5CLwCt3juZKJk8URv,So Much Taller,Spacey Jane,200204
2025-10-01T15:36:58.212Z,6sGIMrtIzQjdzNndVxe397,So Easy (To Fall In Love),Olivia Dean,169000
2025-10-01T15:41:56.858Z,71eOnW7rgk0Yigje1OP9gB,More More More,Mt. Joy,192753
2025-10-01T15:45:09.760Z,6J9VkPveNBXDC7ybLPOrLJ,car,Royel Otis,197396
2025-10-01T15:49:29.502Z,7oJmIBxEAYjfkS7lhZ7M1S,Sometimes,Goth Babe,262736
2025-10-01T19:08:58.986Z,33iVbqWp5QsKUm29w6cEtR,How to Kill Houseplants,Spacey Jane,208797
2025-10-01T19:12:13.391Z,02KWhwsDjIX8ZXgBgK9kOP,Sorry,Parcels,197703
2025-10-01T19:15:34.183Z,5sM1e2WvmbMpRypXETjN83,Been Somebody,Post Sex Nachos,204000
2025-10-01T19:18:16.865Z,3NPFWJX4Ew9y5Nw2meRZgr,1234567,BETWEEN FRIENDS,165700
2025-10-01T19:21:42.536Z,709ZIqPHyFOpx2QdjmeWAM,Dracula,Tame Impala,205308
2025-10-01T19:25:37.284Z,7elX2eVfQZ9hylXbXL20kW,The Painter,Mo Lowda & the Humble,237309
2025-10-02T13:40:26.033Z,7tFI5cqfAoR7MIvmbw1qd8,Delete Ya,Djo,203349
2025-10-02T13:44:24.257Z,33uKUpu9ZXsHhcxRLoxnWI,I know it won't work,Gracie Abrams,245629
2025-10-02T13:47:45.493Z,6LR2dyEJHlzbjRbsVqJMxy,Bathroom Light - Live at The Salt Shed  December 2023,Mt. Joy,204282
2025-10-02T13:57:51.537Z,3swc6WTsr7rl9DqQKQA55C,Psycho (feat. Ty Dolla $ign),Post Malone,221440
2025-10-02T14:02:42.197Z,55N0YHhO55Q1lWsc4dDPcI,A World Alone,Lorde,294222
2025-10-02T14:04:28.803Z,5PbdVk09VHHcvGa0pX86RP,Flowers In Your Hair,The Lumineers,109735
2025-10-02T14:07:54.685Z,2dmBAIjIfisvCG7G9YEh0g,Lady Lady,Olivia Dean,209000
2025-10-02T14:11:13.366Z,15yaPgTazHHemSnHYYl8HO,Close Up,Olivia Dean,195000
2025-10-02T14:14:00.562Z,6sGIMrtIzQjdzNndVxe397,So Easy (To Fall In Love),Olivia Dean,169000
2025-10-02T14:20:04.472Z,1gRK6QnBOpNtEDjYKftzTc,The Feminine Urge,The Last Dinner Party,206571
2025-10-02T14:23:44.438Z,1SRkKyJ2JjMZgyDWC30zKv,My Best Friend's Girl,The Cars,223253
2025-10-02T14:31:12.855Z,6WQKyeXBzA9oRyENIYTmU3,Glamour Profession,Steely Dan,448740
2025-10-02T14:34:20.440Z,3SUusuA9jH1v6PVwtYMbdv,Last Nite,The Strokes,193373
2025-10-02T14:37:27.700Z,2Pr1nZpt8A8WP7QYpyq6L3,Wildflowers,Tom Petty,190320
2025-10-02T14:41:43.697Z,1qPbGZqppFwLwcBC1JQ6Vr,Wonderwall,Oasis,258906
2025-10-02T14:45:27.097Z,0eEXcw3JLVXcRxYrVYMy68,Electric Relaxation,A Tribe Called Quest,226133
2025-10-02T14:48:07.017Z,0j3p1p06deJ7f9xmJ9yG22,Back In The U.S.S.R. - Remastered 2009,The Beatles,163453
2025-10-02T14:51:08.886Z,6jBCehpNMkwFVF3dz4nLIW,It's Tricky,Run–D.M.C.,183760
2025-10-02T14:55:18.673Z,1JSTJqkT5qHq8MDJnJbRE1,Every Breath You Take,The Police,253920
2025-10-02T14:58:11.065Z,64MISVB9IIchhOKmWHftoz,You're Gonna Make Me Lonesome When You Go,Bob Dylan,174733
2025-10-02T15:00:59.049Z,2ydUT1pFhuLDnouelIv4WH,The Rock Show,blink-182,171600
2025-10-02T15:04:42.093Z,7mnGQesk1TzQLzQ9bYWZPR,She's so High,Tal Bachman,224693
2025-10-02T15:07:14.184Z,72PoJMDfdaw9gGECgA9kTZ,Nothing From Nothing,Billy Preston,156200
2025-10-02T15:12:10.530Z,5uuJruktM9fMdN9Va0DUMl,Play That Funky Music,Wild Cherry,300000
2025-10-02T15:16:11.767Z,66LhCsc06aTa2Ig7iYPDSP,Stop Draggin' My Heart Around (with Tom Petty and The Heartbreakers) - 2016 Remaster,Stevie Nicks,244440
2025-10-02T15:19:20.510Z,3EYOJ48Et32uATr9ZmLnAo,Roxanne,The Police,191946
2025-10-02T15:23:59.617Z,5PQmSHzWnlgG4EBuIqjac2,If I Ruled the World (Imagine That) (feat. Lauryn Hill),Nas,282373
2025-10-02T15:27:18.810Z,63T7DJ1AFDD6Bn8VzG6JE8,Paint It  Black,The Rolling Stones,202266
2025-10-02T15:30:46.684Z,17phhZDn6oGtzMe56NuWvj,Lose Control,Teddy Swims,210688
2025-10-02T15:34:41.844Z,70LcF31zb1H0PyJoS1Sx1r,Creep,Radiohead,238640
2025-10-02T15:37:55.037Z,0seTertVGvHrEJu7hlIWRq,Take It Or Leave It,The Strokes,196066
2025-10-02T15:40:51.963Z,3ASxXDeMs84gmAnuXeCjAJ,Jackie Wilson Said (I'm in Heaven When You Smile),Van Morrison,180259
2025-10-02T15:44:32.394Z,2GFExyKXf9383tSRSrEHEt,Can't Take My Eyes Off of You - (I Love You Baby),Ms. Lauryn Hill,221466
2025-10-02T15:48:46.974Z,1Tr4K5MU5XYE44umXGDndd,Once in a Lifetime,Talking Heads,259600
2025-10-02T15:55:12.820Z,0vFOzaXqZHahrZp6enQwQb,Money,Pink Floyd,382834
2025-10-02T15:58:06.264Z,3fnPv1LRMxENr63afVhaz1,Honky Tonk Women,The Rolling Stones,182706
2025-10-02T16:02:03.554Z,2aoo2jlRnM3A0NyLQqMN2f,All Along the Watchtower,Jimi Hendrix,240800
2025-10-02T16:06:02.569Z,2VNfJpwdEQBLyXajaa6LWT,Burning Down the House,Talking Heads,241920
2025-10-02T16:09:32.724Z,11607FzqoipskTsXrwEHnJ,Sunday Morning,The Velvet Underground,175893
2025-10-02T16:13:02.410Z,5z4ljpMLi1LTF8UG9P53fH,Dreamer,Supertramp,213236
2025-10-02T16:17:03.159Z,1CgmY8fVN7kstVDZmsdM5k,P.Y.T. (Pretty Young Thing),Michael Jackson,239026
2025-10-02T16:21:39.101Z,0I3q5fE6wg7LIfHGngUTnV,Ms. Jackson,Outkast,270506
2025-10-02T16:27:47.074Z,6KHNMPZTSif1zFbFKErpNU,Moondance - 2013 Remaster,Van Morrison,274040
2025-10-02T16:59:32.808Z,6ySVa9OQidAvnEk9O0w2qR,Band On The Run,Paul McCartney,309333
2025-10-02T17:02:29.114Z,5OWokvF4QOqMDQ8ByQsm6V,Shake It Up,The Cars,215440
2025-10-02T17:06:19.070Z,6UnCGAEmrbGIOSmGRZQ1M2,Light On,Maggie Rogers,233880
2025-10-02T17:10:29.203Z,4aQ8mFkZU6dmHaZOOKdscc,Ripple - 2020 Remaster,Grateful Dead,248160
2025-10-02T17:16:15.233Z,3uiMBldZ07pW0ySHDX5gzE,Silly Love Songs - 2014 Remaster,Wings,354240
2025-10-02T17:19:31.639Z,63xdwScd1Ai1GigAwQxE8y,Let's Stay Together,Al Green,199396
2025-10-02T17:22:29.134Z,2gdRd5hVLjBkn02y2nQW2z,Clay Pigeons,Blaze Foley,180813
2025-10-02T17:25:22.729Z,5LxvwujISqiB8vpRYv887S,I Want You Back,The Jackson 5,176333
2025-10-02T18:00:26.786Z,5eMZ3EPIMGoWlrrVhxatdv,You Got Lucky,Tom Petty and the Heartbreakers,217960
2025-10-02T18:06:01.278Z,0hKRSZhUGEhKU6aNSPBACZ,A Day In The Life - Remastered 2009,The Beatles,337413
2025-10-02T18:10:02.595Z,7iUlymgfGurgnsFlek7Djo,Everything Hits At Once,Spoon,244240
2025-10-02T18:12:49.240Z,4kP69y3GKHi9tXckfgp4bK,For Once In My Life,Stevie Wonder,169800
2025-10-02T18:29:39.086Z,6txWz9UapYHVxEd7dDIHXT,No Rain,Blind Melon,217106
2025-10-02T18:33:25.956Z,1a19jsjG2DvbN1fVJonKUU,Beaches,beabadoobee,230053
2025-10-02T18:37:18.597Z,6io0LJIP9ntX35hTfaxwQG,Lay Down Sally,Eric Clapton,236093
2025-10-02T18:40:15.547Z,5vgdeMt4uKUN2BeltZjoDh,UGH!,The 1975,180026
2025-10-02T18:47:06.436Z,7hVhRCDV100Jq26NGR7adw,Good Times Roll,The Cars,225853
2025-10-02T18:50:48.497Z,1SRkKyJ2JjMZgyDWC30zKv,My Best Friend's Girl,The Cars,223253
2025-10-02T18:58:19.071Z,42o3gy9e8dzBHvQE991ad8,Rocks Off,The Rolling Stones,271933
2025-10-02T19:01:41.584Z,2ROJw0Y9Ypl79RYsYuqT3w,Self destruct,BETWEEN FRIENDS,173800
2025-10-03T05:14:07.176Z,4j6kId9QIqhoXvqHKgSKa0,Grapejuice,Harry Styles,191958
2025-10-03T05:18:19.705Z,62HoDY1Km6lm47haFpUn9c,Eldest Daughter,Taylor Swift,246356
2025-10-03T12:05:03.152Z,62V2ZHslgQV98gH4AuVXnr,Ruin The Friendship,Taylor Swift,220564
2025-10-03T12:08:27.565Z,0YMe6PHRbeDcN7KJdCG0bW,The Dress,Dijon,184767
2025-10-03T12:11:27.457Z,1fZHgUUmFduHFLlvmiyNJX,The Dress (Dijon Cover) (Live) - Spotify Live Room,Olivia Dean,183000
2025-10-03T12:14:36.080Z,451GvHwY99NKV4zdKPRWmv,Banana Pancakes,Jack Johnson,191906
2025-10-03T14:25:47.372Z,0aJrYfARfCKzv6gXjhs4SZ,Upside Down,Jack Johnson,209546
2025-10-03T14:25:47.779Z,1LvU6IFqQnXOIwJyBDb2io,She Calls Me Back,Noah Kahan,243815
2025-10-03T14:25:48.494Z,4nHJcUtNSUVjXRnjdP29Bk,You’re Gonna Go Far,Noah Kahan,286369
2025-10-03T14:25:49.242Z,42TtHTxWk782ZBiqyOi2d1,Dawns (feat. Maggie Rogers),Zach Bryan,290892
2025-10-03T14:25:49.307Z,2QfX9Pdz3q66fN3kCXl0Js,Revival,Zach Bryan,221250
2025-10-03T14:30:13.377Z,38Zs2b75JPNB2tS7O7JQnS,Stoned at the Nail Salon,Lorde,266432
2025-10-03T14:32:25.631Z,0tMMPZEt6Gyrl9FI8zSicm,Glue Song (feat. Clairo),beabadoobee,135066
2025-10-03T14:35:32.613Z,1xHQRQVnfefr7sxZNYTx0k,Julia,Mt. Joy,190453
2025-10-03T14:39:23.467Z,7qTr6NXpNeVriU1jCbXqCg,Jesus  Etc. - 2022 Remaster,Wilco,231706
2025-10-03T14:41:45.062Z,3KfbEIOC7YIv90FIfNSZpo,In My Life - Remastered 2009,The Beatles,146333
2025-10-03T14:44:41.092Z,5yuShbu70mtHXY0yLzCQLQ,Go Flex,Post Malone,179613
2025-10-03T14:48:22.697Z,6eIEJLVaPTU3NuctqdWCzJ,Dunno - Recorded at Spotify Studios NYC,Mac Miller,224347
2025-10-03T15:11:06.033Z,5ovcVaOus1Wv4vTtyGXlhB,Either Way,Wilco,186120
2025-10-03T15:14:37.078Z,53LwBS4bovyljsMlLqGfd6,American Girl,Tom Petty and the Heartbreakers,214733
2025-10-03T15:17:41.585Z,7pKfPomDEeI4TPT6EOYjn9,Imagine - Remastered 2010,John Lennon,187866
2025-10-03T15:20:39.596Z,1h04XMpzGzmAudoI6VHBgA,Penny Lane - Remastered 2009,The Beatles,180893
2025-10-03T15:34:59.594Z,7lNmcW2wW6ciV9Rhh8YOMe,Something in the Orange - Z&E's Version,Zach Bryan,254258
2025-10-03T15:38:34.479Z,77DyLvgDQyvjHsrJ1A5MaB,Inaudible Melodies,Jack Johnson,217907
2025-10-03T15:40:21.163Z,5PbdVk09VHHcvGa0pX86RP,Flowers In Your Hair,The Lumineers,109735
2025-10-03T15:43:04.838Z,6Op1AAvS0Jb3Gbom92zadJ,Look At That Woman,ROLE MODEL,163458
2025-10-03T15:45:33.587Z,4AZk9awBXJRVaLS7gOsaMO,Talk Down,Dijon,151565
2025-10-03T15:50:04.316Z,53iuhJlwXhSER5J2IYYv1W,The Fate of Ophelia,Taylor Swift,226073
2025-10-03T15:53:32.435Z,1jgTiNob5cVyXeJ3WgX5bL,Elizabeth Taylor,Taylor Swift,208291
2025-10-03T17:49:30.508Z,3yWuTOYDztXjZxdE2cIRUa,Opalite,Taylor Swift,235355
2025-10-03T17:50:07.984Z,3yWuTOYDztXjZxdE2cIRUa,Opalite,Taylor Swift,235355
2025-10-03T17:54:03.829Z,7EDwMCIrupGXeZDOQ0OweI,The One (feat. STRFKR),Ampersounds,236172
2025-10-03T17:57:31.030Z,03bTIHJElXZ0O0jqOQvAbY,Father Figure,Taylor Swift,212777
2025-10-03T18:01:54.342Z,62HoDY1Km6lm47haFpUn9c,Eldest Daughter,Taylor Swift,246356
2025-10-03T18:05:17.634Z,62V2ZHslgQV98gH4AuVXnr,Ruin The Friendship,Taylor Swift,220564
2025-10-03T18:09:11.863Z,7EDwMCIrupGXeZDOQ0OweI,The One (feat. STRFKR),Ampersounds,236172
2025-10-03T18:11:51.414Z,2x3mwb96B6TquRqMtbxUE1,Actually Romantic,Taylor Swift,163699
2025-10-03T18:15:30.167Z,2TEQvxxQabwLQMqWMg1qGu,Wi$h Li$t,Taylor Swift,207349
2025-10-03T18:17:49.869Z,5ylJtmaWPJ33cW3En7WOu0,Wood,Taylor Swift,150517
2025-10-03T18:20:34.474Z,5BikEzeYYFtRvR1CL1UTRg,Sasquatch (feat. Tyler  The Creator),Earl Sweatshirt,168240
2025-10-03T18:24:11.038Z,1appZ3c336FkPvCuywfmrs,CANCELLED!,Taylor Swift,211498
2025-10-03T18:27:04.110Z,4qmFC3Jz5aQ0erlk2OSi2X,Honey,Taylor Swift,181534
2025-10-03T18:31:06.161Z,5eXgqtg3T8Av0m1FUaGHex,The Life of a Showgirl (feat. Sabrina Carpenter),Taylor Swift,241766
2025-10-03T18:34:27.176Z,36vmaZyO0iAE6FZ7287fg2,Dive,Olivia Dean,200759
2025-10-03T18:37:21.516Z,3qhlB30KknSejmIvZZLjOD,End of Beginning,Djo,159245
2025-10-03T18:41:56.291Z,6K8VQ84MqhsoakN5MjrnVR,Supercut,Lorde,277506
