2025-06-01T00:12:40.030Z,52vA3CYKZqZVdQnzRrdZt6,The Times They Are A-Changin',Bob Dylan,192053
2025-06-01T00:15:05.370Z,4fYeRpiNyejUfkgskbhqmz,The Times They Are a-Changin (Campaign Zero),Goth Babe,154552
2025-06-01T00:21:18.834Z,3CTBfot80XAOyuaJ1jcN5z,She Wants To Go Dancing,Mt. Joy,188442
2025-06-01T00:25:18.844Z,2J051fjLklkoPbzOoTAACZ,Sally  When The Wine Runs Out,ROLE MODEL,218660
2025-06-01T17:49:00.127Z,0KVWVuutF9Dn8li4HdyAeU,Archie  Marry Me,Alvvays,196560
2025-06-01T18:03:23.880Z,21NZOJOaFxeYEcKQbgDgtW,Change,King Gizzard & The Lizard Wizard,783390
2025-06-01T18:06:36.909Z,6SYxCsqjVaOhEOIuKTfnJ0,Hate Dancin',King Gizzard & The Lizard Wizard,196348
2025-06-01T18:18:28.581Z,5LjGOJDlKw1XyX9s0P8eFh,Astroturf,King Gizzard & The Lizard Wizard,453452
2025-06-01T18:18:30.089Z,2bNqs5SLWjOtwcohKAdlgJ,No Body,King Gizzard & The Lizard Wizard,222034
2025-06-01T18:22:49.675Z,6P7FJBspEtLcqjzltUv74y,Gondii,King Gizzard & The Lizard Wizard,296980
2025-06-01T18:27:30.269Z,7sdo2iJSHNrNpGdilhH7K3,Exploding Suns,King Gizzard & The Lizard Wizard,280575
2025-06-01T18:35:24.603Z,3AhXZa8sUQht0UEdBJgpGc,Like a Rolling Stone,Bob Dylan,369600
2025-06-01T18:41:20.992Z,5JqsRFZYDtIK5Rgeuzd2Jv,Tombstone Blues,Bob Dylan,356226
2025-06-01T18:45:27.238Z,2yaf46YMxA5y6bzmWUKgXC,It Takes a Lot to Laugh  It Takes a Train to Cry,Bob Dylan,245133
2025-06-01T18:48:41.974Z,6txGFpco4cfgG1sA1MxLCp,From a Buick 6,Bob Dylan,195693
2025-06-01T18:54:38.429Z,0f5N14nB8xi0p3o4BlVvbx,Ballad of a Thin Man,Bob Dylan,356706
2025-06-01T19:00:06.281Z,0c2DAekH6ZEnHhf8dM1leK,Queen Jane Approximately,Bob Dylan,327466
2025-06-01T19:03:31.881Z,6os5B6xjuke9YfBKH3tu1e,Highway 61 Revisited,Bob Dylan,205826
2025-06-01T19:10:43.545Z,7bXWqbYsa1QqwcFC4PIRSW,Sheep - Live at The Salt Shed  December 2023,Mt. Joy,246398
2025-06-01T19:53:44.274Z,32kVwUQya3PEgMYPho8boS,I'm Your Wreck - Live at The Salt Shed  December 2023,Mt. Joy,334585
2025-06-01T19:58:32.036Z,7vRriwrloYVaoAe3a9wJHe,i hate u  i love u (feat. olivia o'brien),gnash,251033
2025-06-01T20:01:32.254Z,2ySc7XpO3sdt01UG986MwE,Missed Calls,Mac Miller,178902
2025-06-01T20:27:42.584Z,39NDBdU5Xkm5pCFGa5kZtI,Ladders,Mac Miller,287040
2025-06-01T20:31:54.207Z,6luBKkFUt5wTwz7hpLhp12,drive ME crazy!,Lil Yachty,229804
2025-06-01T20:38:49.832Z,2H30WL3exSctlDC9GyRbD4,Live Well,Palace,249840
2025-06-01T20:42:16.458Z,2d3QlXE6FXFDeodiS66yjM,Weekend Friend,Goth Babe,209454
2025-06-01T20:47:08.937Z,3EsfULMMzZJOGWL6ZsTQaH,My Vibe,Mt. Joy,157266
2025-06-01T20:50:36.209Z,41Az1BCotlAUt7Ud8k6H2Y,Sunsets For Somebody Else,Jack Johnson,210466
2025-06-01T20:53:36.749Z,5eWOsyHHic4vJP3LjTVhqv,Sitting  Waiting  Wishing,Jack Johnson,183720
2025-06-01T20:58:36.472Z,7jWUnmVEcqR3KggTiSNWAW,Prelude,Miley Cyrus,155715
2025-06-01T21:02:01.101Z,1FYXNzi1u1vAl8aUC9TcdO,Something Beautiful,Miley Cyrus,271624
2025-06-01T21:06:15.253Z,2rDMtmPctM67hICAZTKAjx,End of the World,Miley Cyrus,250483
2025-06-01T21:15:56.441Z,28RGHzCKNZEAWquYbZl3EI,More to Lose,Miley Cyrus,275780
2025-06-01T21:29:58.711Z,7AFASza1mXqntmGtbxXprO,changes,XXXTENTACION,121886
2025-06-01T21:48:54.751Z,52vA3CYKZqZVdQnzRrdZt6,The Times They Are A-Changin',Bob Dylan,192053
2025-06-01T21:51:52.056Z,4shJVGH4xRWChBSkHHamxv,CPR,Wet Leg,170337
2025-06-01T21:54:57.049Z,11wHmDneCglIJZRMOMUhUw,catch these fists,Wet Leg,188514
2025-06-01T22:39:46.408Z,1Tk7GuYDspyvq16jy2Tpwl,TECHNO + TEQUILA (feat. Morgan Harvill),Disco Lines,140952
2025-06-01T22:44:51.322Z,3wRRccJI9TWamHC8jlMHlA,Catching Eyes,49th & Main,249533
2025-06-02T04:31:05.715Z,09Rv6ctDE0t9z8zk5FINg8,Danielle (smile on my face),Fred again..,201230
2025-06-02T06:08:47.168Z,0vUjASEiv1JHaekO7YKrjP,Half Full Glass Of Wine - Live,Tame Impala,494209
2025-06-02T06:14:49.917Z,1EkLo6IFUeXk9C0bAlOty3,Wrong Again,Jack J,182869
2025-06-02T06:17:19.338Z,103lIjaS9OeuVqHCmDVgpO,High Notes,NEIL FRANCES,152750
2025-06-02T06:20:17.303Z,1ZJaZDD8D9SqmBNAXehB6H,Average Guy (Blame),TV Girl,180994
2025-06-02T06:23:48.184Z,6J4JyWGym75LACyBWqipKv,Good At Breaking Hearts,Jungle,213706
2025-06-02T06:26:30.713Z,0C6dHL88sR4QVqWoiYQ2D5,Iris and I,Ralph Castelli,165882
2025-06-02T06:29:36.629Z,39MAU8JIcR7ojQA4hnoPDS,All the Good Times Never Die,LEISURE,188800
2025-06-02T06:35:20.550Z,4whpLKsqx55OVXy1tuEMQS,Cold Comfort,STRFKR,347555
2025-06-02T06:38:24.546Z,79rDSeSX1tm97qaYDmPSnD,Pegasus (ft. Phoebe Bridgers),Arlo Parks,186836
2025-06-02T06:41:36.615Z,6I5smKWqDl1TwxUvyhDRSZ,Something New,Babe Rainbow,195080
2025-06-02T06:44:23.402Z,1ciQU7ZQGHq129m3njp9en,dirty dancer,Orion Sun,169720
2025-06-02T06:46:57.326Z,50kr7iOlK6tBFMewdYF1tq,Never The Same,STRFKR,152992
2025-06-02T06:50:08.058Z,742oWlfJlZRsX6SA2QLRtD,Peace Blossom Boogy,Babe Rainbow,194292
2025-06-02T06:53:14.352Z,0dpusM1gM6ULx0QvjJctbT,Pictures of You,Drugdealer,189466
2025-06-02T06:56:51.141Z,37nRhMFqggMLfWOpTL2vgZ,The Dandelion,Oracle Sisters,219884
2025-06-02T07:00:14.665Z,6F8R48yp2MwKOCONQgEMzw,himno de verano - House Edit,Marlon Funaki,206027
2025-06-02T07:04:31.995Z,6SIooImkHGKCIwgUZ3WDvD,Hot & Heavy,Lucy Dacus,250613
2025-06-02T07:07:51.094Z,2YuySJd7C2aoBarBP8OvzR,drifting,Night Tapes,212440
2025-06-02T07:10:52.681Z,0YMe6PHRbeDcN7KJdCG0bW,The Dress,Dijon,184767
2025-06-02T07:13:59.842Z,3W0TxUfdO4BKSf5u1n61T9,Milk & Honey,Yellow House,190250
2025-06-02T07:17:36.650Z,7ihVeKd4RjiZ3y12nDhPZO,Sunshine Baby,The Japanese House,219813
2025-06-02T07:21:27.127Z,2elnaPXB82wgWJFZop0TJq,These Days,NEIL FRANCES,233454
2025-06-02T07:24:18.306Z,3Z6HMD0zTxTUqrmh9ZoIib,Petals,TOPS,174535
2025-06-02T07:29:09.749Z,4npKDsY9jICNTZ9k1OCJWv,Selene,Night Tapes,294640
2025-06-02T07:32:28.525Z,11sfRkHdvsop5DdHVmGpt1,Ring of Past,Men I Trust,201523
2025-06-02T07:39:05.336Z,4FAi3DmONBBSzN60yYhAUR,Kids Fallin' In Love,DOPE LEMON,227369
2025-06-02T07:44:26.380Z,6Y2yCg7GpAk9FyR4V16nFu,Boys Got to Go,BRONCHO,175944
2025-06-02T07:44:36.346Z,7AfZIW6yXC4MzElfFmqa9m,Took a While,NEIL FRANCES,202909
2025-06-02T07:46:29.968Z,07AbRgKmb5KfppwtZbZqDI,Slipping Away,LEISURE,235506
2025-06-02T07:50:24.156Z,64ircYoqL31h8dhGPpiUYO,every day is a game,Night Tapes,249687
2025-06-02T07:53:22.662Z,1HfsmNlg8xxhOr9N2i4Q0n,Touching Yourself,The Japanese House,181586
2025-06-02T07:56:13.173Z,5MyTc8ST5a6BNyyRucZNlf,Falling Down a Well,Jack J,173825
2025-06-02T07:59:38.053Z,2kJJa1YHcc7lNkRjnvzTQs,Monky Disco,Babe Rainbow,208079
2025-06-02T08:03:17.335Z,0JJ76PNOMI0nsFGV8BuEJM,Some Kind of Static,NEIL FRANCES,221859
2025-06-02T08:07:04.568Z,467t3218y3yihFcyDGWjr0,Skin,Dijon,230625
2025-06-02T08:11:13.174Z,1F4Sia9UHvh5JuPV7bwgix,Humans,Night Tapes,251690
2025-06-02T08:13:19.797Z,5OPmCyYLMvnTI2Rq55hfo2,Beach Monster,STRFKR,129785
2025-06-02T08:17:22.333Z,77Kvpeoj0zsstt1N0NBOf7,Foolish Man,Jack J,245785
2025-06-02T08:20:53.648Z,3TUoRzHJndQ8jrXDLJctre,Above Me,LEISURE,214440
2025-06-02T08:24:18.450Z,6S6UBPRpKu6Gnq9OWXYebo,Ask Me Anything,NEIL FRANCES,207157
2025-06-02T08:27:51.543Z,66pN37eUwIyx3JFPSTkelk,Lose My Head,Alice Phoebe Lou,150791
2025-06-02T08:30:54.431Z,5tF01USjmGJ43kepzUPH87,City,Marlon Funaki,252000
2025-06-02T08:33:42.765Z,1keltSbtxb5JeAiCfcVYeh,Shadow,PawPaw Rod,171141
2025-06-02T08:37:17.500Z,5ctTnxyYolcaFWpcNbmONN,Sea Foam,STRFKR,218429
2025-06-02T08:40:28.957Z,4IzSgkrRjtNEXyXp72COSl,Planet Junior,Babe Rainbow,193947
2025-06-02T08:43:06.832Z,79ri2kyVbP57qMLfNDHI3S,She's Just the Type of Girl,NEIL FRANCES,161652
2025-06-02T08:46:21.326Z,5ZK62nSchTamBy8F6HIZov,Sea Gets Hotter,Durand Jones & The Indications,197226
2025-06-02T08:50:14.817Z,2Dv7yzt7fk6PIj2PRTLx8e,loner,Night Tapes,236720
2025-06-02T08:54:02.881Z,3QtNPpwrajozNB5AORHYzP,Take You Higher,LEISURE,228853
2025-06-02T08:56:45.153Z,6X6yebPQGATlT8IfePvEiB,Basically,STRFKR,167493
2025-06-02T09:00:06.433Z,01WQr2XhNnZMu4bjkgLN5s,Morning Song,Babe Rainbow,204467
2025-06-02T09:03:59.132Z,0kFvkwicbdsC2ML55qmV8V,Games,NEIL FRANCES,236000
2025-06-02T09:08:32.582Z,6ThLeHskGmgionXRoqGyYS,Kimosabè,DOPE LEMON,276317
